Name,Age,Nationality,Club,Value,International Reputation,Jersey Number,Position,Preferred Foot,Body Type,Joined,Height,Weight,Crossing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,Penalties,Overall
M. Stendera,22,Germany,Eintracht Frankfurt,750000,2,21,CM,Right,Normal,2013,5'8,159lbs,67,67,52,78,86,73,52,68,63,60,74
S. Morrison,27,England,Cardiff City,550000,1,4,RCB,Right,Normal,2014,6'4,185lbs,30,44,46,54,45,52,75,59,84,47,74
L. Markoviƒá,24,Serbia,Liverpool,700000,2,50,RM,Right,Lean,2014,5'9,143lbs,69,82,85,89,75,65,78,49,49,70,74
R. Savos,28,Morocco,Wolverhampton Wanderers,550000,1,27,CM,Left,Lean,2016,6'3,185lbs,53,62,64,65,65,64,69,74,71,47,74
J. Larsen,19,Denmark,Borussia Dortmund,950000,1,34,LM,Right,Normal,2016,6'0,165lbs,69,81,85,76,73,77,67,72,73,44,74
J. Ralls,24,England,Cardiff City,750000,1,8,RCM,Left,Normal,2011,5'10,154lbs,72,66,61,71,68,72,49,77,58,73,74
F. Valverde,19,Uruguay,Real Madrid,850000,1,5,CM,Right,Normal,2016,6'0,172lbs,49,69,68,51,64,77,49,68,56,42,74
S. Falette,26,Guinea,Eintracht Frankfurt,600000,1,3,CB,Left,Stocky,2017,6'0,201lbs,39,65,72,44,48,60,78,66,91,60,74
Fran Beltren,19,Spain,RC Celta,700000,1,8,CDM,Right,Normal,2018,5'7,141lbs,65,73,72,80,79,61,59,69,64,49,74
L. Grant,35,England,Manchester United,130000,1,13,GK,Right,Normal,2018,6'4,183lbs,19,52,46,56,56,24,73,39,71,20,74
F. Bardi,26,Italy,Frosinone,450000,1,22,GK,Right,Lean,2018,6'2,176lbs,18,51,46,48,33,23,75,29,54,21,74
A. Acquah,26,Ghana,Empoli,459999,1,18,LCM,Right,Lean,2018,5'10,154lbs,64,78,76,78,79,72,79,79,78,60,73
Luco Bonatini,24,Brazil,Wolverhampton Wanderers,550000,1,33,ST,Right,Normal,2018,6'0,183lbs,65,68,69,67,64,77,70,72,74,72,73
M. Russ,32,Germany,Eintracht Frankfurt,229999,2,23,CB,Right,Normal,2013,6'3,203lbs,30,32,32,32,42,67,53,39,83,50,73
D. Ciofani,32,Italy,Frosinone,320000,2,9,ST,Right,Lean,2013,6'3,181lbs,26,55,69,34,39,76,89,56,83,65,73
F. Dionisi,31,Italy,Frosinone,360000,2,18,ST,Right,Normal,2014,5'10,150lbs,42,79,85,66,68,75,74,72,63,70,73
M. Stekelenburg,35,Netherlands,Everton,95000,2,22,GK,Right,Lean,2016,6'6,203lbs,18,30,36,30,27,13,55,30,77,23,73
A. Smithies,28,England,Cardiff City,330000,1,12,GK,Right,Lean,2018,6'2,194lbs,14,59,59,33,44,46,82,39,66,21,73
P. Foden,18,England,Manchester City,800000,1,47,CAM,Left,Lean,2016,5'7,130lbs,64,78,71,86,86,70,50,70,45,44,73
R. Kruniƒá,24,Bosnia Herzegovina,Empoli,550000,1,33,RCM,Right,Normal,2015,6'0,163lbs,65,71,69,74,66,72,68,73,68,64,73
N. Etheridge,28,Philippines,Cardiff City,330000,1,1,GK,Right,Stocky,2017,6'3,196lbs,11,51,53,54,58,24,45,34,76,43,73
Sergi Samper,23,Spain,FC Barcelona,480000,1,16,CDM,Right,Lean,2016,6'0,161lbs,55,55,33,58,70,55,58,65,66,52,73
R. Bennett,28,England,Wolverhampton Wanderers,320000,1,5,RCB,Right,Normal,2017,6'2,172lbs,23,36,39,30,34,43,73,63,77,28,73
B. Reid,25,England,Cardiff City,550000,1,14,ST,Right,Lean,2018,5'7,150lbs,67,84,78,87,86,67,72,83,60,70,73
A. Gunnarsson,29,Iceland,Cardiff City,310000,1,17,RCM,Right,Normal,2011,5'10,190lbs,64,56,57,73,72,70,73,71,72,52,73
A. Lookman,20,England,Everton,700000,1,31,LM,Right,Lean,2017,5'9,172lbs,65,86,80,88,80,72,65,63,51,65,73
J. Kenny,21,England,Everton,370000,1,43,RB,Right,Normal,2014,5'9,148lbs,69,73,72,68,71,50,72,71,63,53,72
G. Di Lorenzo,24,Italy,Empoli,340000,1,2,RB,Right,Stocky,2017,6'0,181lbs,74,69,69,71,65,68,71,72,73,45,72
J. Ruddy,31,England,Wolverhampton Wanderers,190000,2,21,GK,Right,Stocky,2017,6'4,214lbs,14,38,43,23,22,24,68,36,71,18,72
Lucas Piazon,24,Brazil,Chelsea,420000,1,34,RW,Right,Lean,2012,6'0,161lbs,71,70,69,72,69,70,39,66,55,73,72
D. Maietta,35,Italy,Empoli,72500,1,22,LCB,Right,Normal,2018,6'0,165lbs,28,30,33,33,52,21,70,50,77,15,72
E. Martinez,25,Argentina,Arsenal,300000,1,26,GK,Right,Normal,2010,6'4,187lbs,22,59,57,49,49,18,60,14,70,42,72
M. Kean,18,Italy,Juventus,650000,1,18,ST,Right,Lean,2016,6'0,174lbs,42,75,79,75,69,71,68,69,73,65,72
C. Molinaro,34,Italy,Frosinone,87500,2,3,LB,Left,Normal,2018,6'0,181lbs,74,66,69,65,68,69,74,65,72,63,72
S. Perica,22,Croatia,Frosinone,420000,1,11,ST,Right,Lean,2016,6'4,176lbs,44,68,67,58,44,74,72,64,76,62,72
Diogo Dalot,19,Portugal,Manchester United,470000,1,20,RB,Right,Normal,2018,6'0,157lbs,75,73,73,69,63,76,78,79,71,43,72
B. Hrgota,25,Sweden,Eintracht Frankfurt,400000,1,34,ST,Left,Lean,2016,6'1,165lbs,56,76,67,71,64,75,68,66,64,62,72
E. Hallfre√∞sson,34,Iceland,Frosinone,150000,2,20,LCM,Left,Normal,2018,6'1,190lbs,68,62,54,61,69,80,60,54,77,69,72
Alexis,20,Spain,FC Barcelona,600000,1,21,CM,Left,Normal,2018,5'11,161lbs,66,78,76,75,75,66,52,66,63,73,72
C. Pinsoglio,28,Italy,Juventus,220000,1,21,GK,Left,Lean,2014,6'4,187lbs,13,43,41,36,40,18,71,34,60,22,72
J. Foyth,20,Argentina,Tottenham Hotspur,550000,1,6,CB,Right,Lean,2017,6'2,152lbs,41,71,71,72,72,56,72,65,71,47,72
J. Bennett,28,England,Cardiff City,250000,1,3,LB,Left,Lean,2016,5'10,163lbs,70,74,64,72,69,65,71,69,65,45,72
S. Uzban,24,Turkey,Empoli,409999,1,42,CM,Right,Lean,2009,6'0,143lbs,69,74,71,76,71,71,60,66,52,67,72
K. Zohore,24,Denmark,Cardiff City,420000,1,10,ST,Left,Normal,2016,6'4,212lbs,38,54,74,51,33,79,34,69,87,71,72
R. Green,38,England,Chelsea,21000,2,31,GK,Right,Normal,2018,6'2,203lbs,19,46,32,47,40,22,68,26,59,21,72
L. Ariaudo,29,Italy,Frosinone,240000,1,15,CB,Left,Lean,2016,6'1,174lbs,35,53,53,57,63,47,80,65,74,30,72
Y. Chibsah,25,Ghana,Frosinone,290000,1,66,RCM,Right,Normal,2018,5'10,172lbs,59,76,67,81,83,70,65,89,69,52,71
C. Paterson,23,Scotland,Cardiff City,320000,1,2,RB,Right,Normal,2017,6'2,168lbs,70,72,79,66,59,72,93,91,83,46,71
N. Brighenti,28,Italy,Frosinone,190000,1,23,CB,Right,Normal,2016,5'10,165lbs,49,72,67,71,70,47,82,66,73,48,71
M. Capuano,26,Italy,Frosinone,240000,1,25,LCB,Left,Normal,2018,6'1,176lbs,45,65,67,66,64,59,77,74,85,41,71
F. Wiedwald,28,Germany,Eintracht Frankfurt,170000,2,29,GK,Right,Normal,2018,6'3,181lbs,9,38,41,43,45,23,68,44,78,22,71
E. N'Dicka,18,France,Eintracht Frankfurt,320000,1,2,LCB,Left,Normal,2018,6'4,176lbs,45,69,68,53,51,64,72,65,79,33,71
L. Capezzi,23,Italy,Empoli,340000,1,28,CM,Right,Normal,2001,5'10,159lbs,63,50,52,69,75,66,62,69,54,66,71
B. Salamon,27,Poland,Frosinone,220000,1,27,CB,Right,Lean,2006,6'5,196lbs,38,41,53,50,32,71,82,62,76,41,71
N. Mendez-Laing,26,England,Cardiff City,280000,1,19,RW,Right,Stocky,2017,5'11,165lbs,66,85,85,72,70,67,62,74,71,48,71
Alejandro Rodriguez,26,Spain,Empoli,260000,1,9,ST,Right,Lean,2009,6'0,176lbs,42,77,78,80,75,69,84,73,68,65,71
S. McTominay,21,Scotland,Manchester United,380000,1,17,CM,Right,Lean,2013,6'4,194lbs,66,62,65,61,51,71,66,71,78,59,71
M. Bvochel,27,Liechtenstein,Empoli,240000,1,40,CM,Left,Normal,2013,5'9,157lbs,62,78,69,79,82,67,69,77,67,56,71
I. Bennacer,20,Algeria,Empoli,400000,1,10,CM,Left,Lean,2017,5'8,141lbs,67,69,71,72,79,69,72,74,45,64,71
M. Guendouzi,19,France,Arsenal,400000,1,29,CDM,Right,Lean,2018,6'1,150lbs,67,66,60,64,65,69,66,69,63,49,71
I. Provedel,24,Italy,Empoli,240000,1,1,GK,Right,Lean,2017,6'4,185lbs,21,44,40,38,44,17,56,28,56,22,71
O. Zinchenko,21,Ukraine,Manchester City,330000,1,35,LB,Left,Lean,2016,5'9,141lbs,79,73,64,77,79,76,66,69,52,59,71
L. Krajnc,23,Slovenia,Frosinone,260000,1,15,CB,Left,Normal,2018,6'2,190lbs,58,63,65,58,64,44,77,65,84,44,71
P. Terracciano,28,Italy,Empoli,190000,1,21,GK,Right,Lean,2017,6'4,172lbs,13,40,42,41,45,17,55,33,60,22,71
A. Maitland-Niles,20,England,Arsenal,450000,1,15,CM,Right,Lean,2014,5'10,157lbs,64,82,85,76,70,65,55,69,66,54,71
L. Lollo,27,Italy,Empoli,240000,1,17,CM,Right,Normal,2018,5'11,165lbs,69,78,79,74,76,63,78,84,76,59,71
J. Murphy,23,England,Cardiff City,250000,1,11,LM,Right,Lean,2018,5'8,148lbs,64,83,86,78,77,74,46,62,50,58,70
D. Solanke,20,England,Liverpool,390000,1,29,ST,Right,Lean,2017,6'2,176lbs,54,67,70,69,67,73,67,65,72,71,70
F. Veseli,25,Albania,Empoli,190000,1,5,CB,Right,Normal,2016,6'0,176lbs,62,69,76,63,69,48,72,62,70,45,70
F. Zampano,24,Italy,Frosinone,190000,1,17,RM,Right,Normal,2010,5'10,163lbs,72,78,76,77,78,56,72,82,65,30,70
M. Gori,25,Italy,Frosinone,210000,1,5,CM,Left,Normal,2012,5'10,168lbs,47,68,54,77,74,62,48,78,61,41,70
R. Maiello,26,Italy,Frosinone,210000,1,8,LCM,Right,Normal,2017,5'10,161lbs,53,76,69,79,81,64,77,69,63,60,70
K. Dowell,20,England,Everton,340000,1,28,CAM,Left,Lean,2014,6'1,176lbs,64,63,64,69,71,68,48,52,56,64,70
C. Hudson-Odoi,17,England,Chelsea,350000,1,20,LW,Right,Lean,2017,5'10,165lbs,62,86,84,84,71,60,54,57,69,55,70
L. Tomlin,29,England,Cardiff City,170000,1,25,CAM,Right,Stocky,2017,5'11,163lbs,60,62,61,72,74,76,58,54,66,70,70
T. Tawatha,26,Israel,Eintracht Frankfurt,150000,1,33,LB,Left,Normal,2016,5'8,154lbs,73,78,78,76,77,53,70,66,66,33,70
L. Mchedlidze,28,Georgia,Empoli,180000,1,7,ST,Left,Stocky,2008,6'4,192lbs,42,55,68,58,34,72,56,52,84,56,70
M. Diaby,18,France,Paris Saint-Germain,370000,1,27,RW,Left,Lean,2018,5'7,143lbs,66,87,87,84,86,71,62,57,39,42,70
David Costas,23,Spain,RC Celta,200000,1,3,LCB,Right,Lean,2013,6'0,159lbs,53,68,67,66,66,42,74,66,65,50,70
A. Isak,18,Sweden,Borussia Dortmund,220000,1,14,ST,Right,Lean,2017,6'3,163lbs,51,78,76,77,60,63,67,66,59,53,69
D. Ward,27,England,Cardiff City,110000,1,9,ST,Left,Normal,2017,5'11,159lbs,63,73,73,69,68,75,90,72,70,64,69
Allan,21,Brazil,Eintracht Frankfurt,160000,1,28,CM,Left,Lean,2008,5'8,154lbs,61,66,62,79,78,70,68,54,48,62,69
A. Richards,27,Wales,Cardiff City,87500,1,6,RB,Right,Normal,2016,5'9,165lbs,68,68,68,69,62,56,64,68,73,50,69
M. Brighi,37,Italy,Empoli,32500,2,4,CM,Right,Normal,2018,5'10,170lbs,64,51,52,56,78,70,72,63,67,68,69
L. Bittante,24,Italy,Empoli,100000,1,69,RB,Right,Lean,2015,6'0,165lbs,68,68,83,70,54,59,55,83,60,45,69
K. Walker-Peters,21,England,Tottenham Hotspur,160000,1,16,RB,Right,Lean,2015,5'9,141lbs,69,77,72,69,81,31,74,66,59,32,69
T. Weah,18,United States,Paris Saint-Germain,220000,1,11,LM,Right,Lean,2018,6'1,146lbs,55,83,83,75,69,70,67,59,59,60,69
M. Wagunc,19,Senegal,FC Barcelona,160000,1,37,RB,Right,Lean,2018,5'10,154lbs,69,84,79,79,85,56,84,67,50,39,69
L. Peltier,31,England,Cardiff City,70000,1,2,RB,Right,Normal,2015,5'10,161lbs,60,65,57,53,70,32,83,72,66,38,69
J. Ardaiz,19,Uruguay,Frosinone,200000,1,99,ST,Left,Stocky,2018,6'0,179lbs,62,82,87,67,59,73,80,54,76,63,69
Riqui Puig,18,Spain,FC Barcelona,210000,1,28,CM,Right,Lean,2018,5'7,123lbs,60,63,66,77,84,60,56,53,43,55,69
G. Madine,27,England,Cardiff City,110000,1,24,ST,Right,Normal,2018,6'3,165lbs,42,48,56,54,52,71,82,71,84,66,69
C. Jenkinson,26,England,Arsenal,100000,2,25,RB,Right,Lean,2011,6'1,170lbs,71,58,73,60,66,72,63,64,69,49,69
F. Cassata,20,Italy,Frosinone,180000,1,24,CM,Right,Lean,2009,6'0,165lbs,62,68,66,67,59,55,35,69,50,40,69
P. Sandler,21,Netherlands,Manchester City,170000,1,34,CB,Right,Normal,2018,6'3,181lbs,32,66,67,63,57,63,69,61,72,46,69
L. Damour,27,France,Cardiff City,110000,1,20,CDM,Right,Normal,2017,5'11,165lbs,59,63,68,75,61,65,71,79,63,39,69
Brahim Dwaz,18,Spain,Manchester City,220000,1,55,LW,Right,Normal,2016,5'7,150lbs,53,78,71,81,84,70,65,58,38,58,69
D. Soddimo,30,Italy,Frosinone,100000,1,10,CAM,Right,Lean,2013,5'11,154lbs,70,78,84,82,74,72,76,84,65,57,69
A. Hjulsager,23,Denmark,RC Celta,160000,1,16,CM,Right,Lean,2017,5'9,161lbs,58,79,77,76,70,52,72,70,68,53,69
S. Nsoki,19,France,Paris Saint-Germain,170000,1,34,LB,Left,Normal,2018,6'1,172lbs,64,73,75,59,54,42,67,59,79,37,68
A. La Gumina,22,Italy,Empoli,130000,1,20,RS,Right,Normal,2018,6'0,172lbs,51,78,76,67,74,67,64,61,69,68,68
Reguillen,21,Spain,Real Madrid,140000,1,23,LB,Left,Normal,2017,5'10,150lbs,66,74,72,52,71,54,60,72,45,42,68
T. Browning,24,England,Everton,100000,1,35,CB,Right,Normal,2011,5'11,168lbs,52,68,72,53,55,48,67,59,74,43,68
A. Fulignati,23,Italy,Empoli,92500,1,99,GK,Right,Normal,2018,6'2,194lbs,19,51,44,52,54,25,63,17,60,22,68
L. Paganini,25,Italy,Frosinone,110000,1,7,RM,Right,Lean,2012,6'0,154lbs,66,70,78,76,71,64,53,73,55,55,68
P. Sammarco,35,Italy,Frosinone,37500,1,21,CM,Right,Lean,2015,6'0,165lbs,60,62,60,70,68,68,72,63,69,55,68
K. Mavropanos,20,Greece,Arsenal,180000,1,27,CB,Right,Normal,2018,6'4,194lbs,37,52,60,55,39,45,67,64,79,42,68
R. Mazdaa,24,Slovakia,RC Celta,100000,1,15,LB,Left,Normal,2018,5'11,165lbs,57,59,55,70,63,55,72,65,53,63,68
Iwin Villar,20,Spain,RC Celta,95000,1,26,GK,Right,Lean,2014,6'2,174lbs,13,32,33,38,37,21,52,30,52,23,68
Kevin,25,Spain,RC Celta,97500,1,20,RB,Right,Normal,2011,5'8,159lbs,69,70,72,63,79,51,63,74,60,46,68
Pleguezuelo,21,Spain,Arsenal,120000,1,53,CB,Right,Lean,2014,5'11,139lbs,53,71,70,73,69,38,75,61,65,43,68
Sergio Gomez,17,Spain,Borussia Dortmund,180000,1,17,CAM,Left,Lean,2018,5'7,150lbs,65,74,68,82,84,66,52,51,36,60,68
J. Zimmermann,33,Germany,Eintracht Frankfurt,45000,1,37,GK,Left,Normal,2017,6'3,194lbs,16,42,50,39,35,22,65,39,69,23,68
A. Pilkington,30,Republic of Ireland,Cardiff City,87500,1,26,ST,Right,Normal,2014,5'11,179lbs,72,63,62,68,66,74,67,58,71,65,68
S. Mraz,21,Slovakia,Empoli,140000,1,66,ST,Right,Normal,2018,6'0,172lbs,50,68,67,65,62,68,72,65,63,72,68
M. Connolly,30,England,Cardiff City,55000,1,16,RB,Right,Lean,2012,6'2,185lbs,61,55,57,41,47,63,73,64,76,38,67
D. Iorfa,23,England,Wolverhampton Wanderers,82500,1,67,RWB,Right,Lean,2013,6'4,172lbs,63,83,88,59,40,47,48,71,79,31,67
J. Rasmussen,21,Denmark,Empoli,120000,1,32,CB,Left,Lean,2018,6'3,179lbs,45,63,64,63,69,40,68,64,78,30,67
A. Gomes,17,England,Manchester United,150000,1,47,CAM,Right,Lean,2016,5'3,134lbs,61,75,69,83,90,61,55,57,32,66,67
A. Iacobucci,27,Italy,Frosinone,60000,1,91,GK,Right,Stocky,2018,6'2,181lbs,15,44,43,47,43,41,66,34,55,23,67
Oriol Busquets,19,Spain,FC Barcelona,150000,1,35,CDM,Right,Lean,2017,6'1,170lbs,56,58,57,56,63,56,54,74,69,42,67
Abel Ruiz,18,Spain,FC Barcelona,160000,1,29,ST,Right,Normal,2017,6'0,161lbs,36,69,70,67,61,64,60,68,74,64,67
B. Galloway,22,England,Everton,85000,1,36,LB,Left,Lean,2014,6'1,163lbs,54,71,77,72,63,51,64,65,67,44,67
R. Vloet,23,Netherlands,Frosinone,100000,1,4,CAM,Right,Lean,2018,6'2,165lbs,52,66,60,58,63,72,67,74,73,70,67
K. Hause,22,England,Wolverhampton Wanderers,110000,1,30,CB,Left,Normal,2014,6'3,205lbs,52,60,65,55,56,70,71,60,83,40,67
B. Baningime,19,DR Congo,Everton,150000,1,34,CDM,Right,Lean,2016,5'10,154lbs,51,51,53,64,70,61,62,56,58,48,67
M. Gibbs-White,18,England,Wolverhampton Wanderers,160000,1,17,CM,Right,Normal,2017,5'10,154lbs,52,65,63,70,69,68,57,63,54,46,67
Iban Salvador,22,Equatorial Guinea,RC Celta,110000,1,33,CAM,Left,Normal,2018,5'8,159lbs,64,85,79,88,81,71,71,72,54,58,67
Javi Sanchez,21,Spain,Real Madrid,120000,1,31,CB,Right,Lean,2016,6'2,170lbs,32,55,64,41,51,38,72,68,68,38,67
Pedro Chirivella,21,Spain,Liverpool,97500,1,68,CM,Right,Lean,2014,5'10,146lbs,52,63,66,74,65,62,52,74,64,49,66
Miranda,18,Spain,FC Barcelona,120000,1,27,LB,Left,Lean,2018,6'1,168lbs,59,65,69,59,60,49,65,69,53,44,66
C. Gomes,17,France,Manchester City,110000,1,81,CDM,Right,Lean,2018,5'11,154lbs,49,76,71,76,69,63,56,62,62,54,66
A. Beghetto,23,Italy,Frosinone,87500,1,33,LM,Left,Normal,2018,5'10,165lbs,71,69,73,69,76,58,63,74,55,58,66
Cristo Gonzalez,20,Spain,Real Madrid,120000,1,27,ST,Right,Lean,2017,5'10,163lbs,54,73,70,70,71,65,65,63,49,54,66
W. Norris,24,England,Wolverhampton Wanderers,65000,1,31,GK,Left,Lean,2017,6'3,179lbs,11,40,49,35,51,18,54,36,60,16,66
Ruben Vinagre,19,Portugal,Wolverhampton Wanderers,120000,1,29,LWB,Left,Lean,2018,5'9,141lbs,66,87,89,79,78,62,53,74,49,57,66
E. Apeh,21,Nigeria,RC Celta,110000,1,35,ST,Right,Normal,2018,5'11,154lbs,48,72,76,70,65,69,55,69,72,62,66
E. Ebanks-Landell,25,England,Wolverhampton Wanderers,67500,1,44,CB,Right,Stocky,2010,6'2,194lbs,51,55,60,54,55,66,71,61,78,36,66
Viscar Pinchi,22,Spain,Atletico Madrid,110000,1,46,LM,Right,Normal,2018,5'8,137lbs,67,69,69,73,80,65,55,48,51,47,66
D. Burniƒa,20,Germany,Borussia Dortmund,100000,1,32,CDM,Left,Lean,2015,5'11,154lbs,57,69,68,75,74,56,70,67,63,55,66
Pastrana,21,Spain,RC Celta,87500,1,34,LM,Left,Lean,2017,5'11,154lbs,64,75,70,73,62,49,56,46,48,56,65
C. Frochtl,18,Germany,FC Bayern Munchen,100000,1,36,GK,Left,Normal,2017,6'4,157lbs,10,25,23,26,23,29,40,19,63,13,65
T. Chong,18,Netherlands,Manchester United,110000,1,44,RW,Left,Lean,2017,6'0,154lbs,66,78,77,76,56,60,64,63,66,44,65
K. Harris,25,England,Cardiff City,67500,1,23,LM,Right,Stocky,2012,5'9,150lbs,61,86,78,86,87,53,75,67,58,40,65
L. Amos,21,England,Tottenham Hotspur,110000,1,40,CM,Left,Lean,2015,5'10,159lbs,57,59,64,67,71,57,65,72,62,45,65
F. Feuillassier,20,Argentina,Real Madrid,110000,1,34,LW,Right,Normal,2017,5'8,152lbs,64,68,68,67,78,72,47,62,61,50,65
Fidalgo,21,Spain,Real Madrid,87500,1,36,CM,Right,Lean,2016,5'9,150lbs,61,65,63,68,77,54,51,64,49,49,65
J. Untersee,24,Switzerland,Empoli,75000,1,27,RM,Right,Normal,2008,5'11,174lbs,67,68,68,68,68,55,76,68,53,57,65
G. Zelalem,21,United States,Arsenal,87500,1,60,CM,Right,Lean,2014,5'11,154lbs,51,65,56,65,73,51,53,60,58,56,65
E. Hamilton,19,Scotland,Manchester United,100000,1,48,CM,Left,Normal,2015,6'1,165lbs,57,60,55,62,60,70,61,66,68,51,65
C. Gribbin,19,England,Manchester United,120000,1,42,CAM,Left,Lean,2015,6'0,159lbs,62,70,68,62,66,65,54,65,60,56,65
Chumi,19,Spain,FC Barcelona,100000,1,36,CB,Right,Lean,2014,6'1,172lbs,38,57,61,49,61,47,74,62,67,50,65
Y. Adli,17,France,Paris Saint-Germain,110000,1,29,CM,Right,Lean,2018,6'1,172lbs,62,62,61,65,57,67,59,59,63,55,65
Jorge Cuenca,18,Spain,FC Barcelona,85000,1,33,CB,Left,Normal,2017,6'2,168lbs,40,57,61,59,64,55,69,66,60,44,65
E. Ampadu,17,Wales,Chelsea,110000,1,15,LDM,Right,Lean,2017,6'0,159lbs,27,62,58,56,68,52,74,60,67,33,65
R. Poole,20,Wales,Manchester United,67500,1,50,CB,Right,Normal,2015,5'11,163lbs,34,70,65,69,70,32,78,71,70,37,64
Sergio Lopez,19,Spain,Real Madrid,87500,1,32,RB,Right,Lean,2018,5'10,146lbs,63,78,79,69,72,63,61,61,51,43,64
A. Bernede,19,France,Paris Saint-Germain,75000,1,28,CAM,Left,Normal,2018,5'10,163lbs,51,65,57,68,66,62,34,48,56,59,64
A. Pinamonti,19,Italy,Frosinone,97500,1,89,ST,Right,Lean,2012,6'2,159lbs,40,54,53,64,64,65,65,48,66,65,64
Guillem Jaime,19,Spain,FC Barcelona,97500,1,38,RW,Right,Normal,2018,5'10,154lbs,63,69,68,68,75,64,52,62,51,49,64
L. Mai,18,Germany,FC Bayern Munchen,85000,1,15,CB,Right,Normal,2018,6'3,194lbs,34,54,54,43,39,48,69,64,79,41,64
Fran Garcia,18,Spain,Real Madrid,85000,1,37,LB,Left,Normal,2018,5'7,139lbs,65,79,79,68,89,47,60,66,44,39,64
T. Oakley-Boothe,18,England,Tottenham Hotspur,92500,1,46,CM,Right,Lean,2017,6'0,150lbs,48,63,67,53,51,44,59,65,60,52,64
C. Dagba,19,France,Paris Saint-Germain,87500,1,31,RB,Right,Lean,2018,5'7,137lbs,65,76,78,79,87,43,62,58,49,38,64
Diego Alende,20,Spain,RC Celta,65000,1,27,CB,Right,Normal,2016,6'0,168lbs,26,53,55,32,65,31,78,43,59,33,64
R. Williams,19,England,Manchester United,87500,1,52,CB,Right,Normal,2016,6'0,165lbs,32,72,74,58,59,43,65,41,68,49,64
K. Rimane,27,France,Paris Saint-Germain,45000,1,37,CB,Right,Normal,2014,5'11,174lbs,41,65,64,69,63,49,82,60,74,45,64
B. Murphy,35,Republic of Ireland,Cardiff City,11000,1,28,GK,Right,Normal,2016,6'0,183lbs,15,34,32,47,52,21,58,32,41,24,64
E. Smith Rowe,17,England,Arsenal,97500,1,55,LW,Right,Lean,2017,6'0,141lbs,60,78,79,73,68,69,47,61,44,64,64
O. Skipp,17,England,Tottenham Hotspur,80000,1,52,CDM,Right,Normal,2017,5'9,154lbs,52,66,65,57,61,55,61,74,61,54,64
H. Traorva,18,Ivory Coast,Empoli,92500,1,8,CAM,Right,Normal,2017,5'8,143lbs,55,66,68,79,60,59,64,63,55,50,64
E. Oelschligel,22,Germany,Borussia Dortmund,52500,1,40,GK,Right,Normal,2018,6'4,187lbs,14,39,42,34,27,24,54,29,76,18,64
E. Nketiah,19,England,Arsenal,97500,1,49,ST,Right,Lean,2015,5'9,154lbs,33,87,82,76,72,60,73,54,56,57,64
Borja Garcacs,18,Spain,Atletico Madrid,95000,1,32,ST,Right,Normal,2018,5'10,157lbs,37,68,67,66,70,72,61,55,51,63,64
Montero,19,Spain,Atletico Madrid,87500,1,35,CB,Left,Lean,2018,5'11,165lbs,42,58,63,52,66,37,69,63,57,40,64
M. Marcjanik,23,Poland,Empoli,60000,1,29,CB,Right,Normal,2018,6'1,183lbs,21,51,61,45,51,61,76,69,75,45,64
Manu Hernando,19,Spain,Real Madrid,70000,1,33,CB,Right,Normal,2017,5'11,170lbs,44,61,63,61,64,47,59,66,62,42,64
Dani Molina,22,Spain,RC Celta,67500,1,30,CDM,Left,Lean,2017,6'0,159lbs,49,53,58,66,67,59,59,52,33,55,64
D. Eckert,21,Germany,RC Celta,82500,1,32,ST,Right,Normal,2017,5'11,174lbs,35,58,48,52,61,62,64,53,77,59,64
P. Ghiglione,21,Italy,Frosinone,65000,1,2,RM,Right,Normal,2011,6'2,176lbs,63,76,78,67,59,60,41,54,65,59,63
Joaquinn,19,Spain,Atletico Madrid,70000,1,47,LM,Left,Normal,2018,5'8,150lbs,61,72,75,53,78,55,51,63,49,48,63
O. Batista Meier,17,Germany,FC Bayern Munchen,72500,1,41,LM,Right,Lean,2018,5'10,132lbs,51,76,73,75,73,54,36,59,42,58,63
A. Georgen,19,France,Paris Saint-Germain,70000,1,36,RB,Right,Lean,2017,5'8,148lbs,70,75,75,76,81,56,60,55,56,48,63
Tachi,20,Spain,Atletico Madrid,72500,1,36,CB,Right,Normal,2016,6'0,165lbs,33,60,65,35,64,41,67,55,59,30,63
C. Bramall,22,England,Arsenal,42500,1,39,LB,Left,Lean,2017,5'10,159lbs,58,88,88,74,67,55,64,64,56,34,63
Ezkieta,21,Spain,FC Barcelona,52500,1,31,GK,Right,Lean,2015,6'4,172lbs,16,41,49,36,45,26,57,41,64,24,63
Dani Gomez,19,Spain,Real Madrid,80000,1,38,ST,Right,Normal,2017,5'10,154lbs,32,66,65,70,65,59,62,51,70,57,63
J. Bohui,19,England,Manchester United,70000,1,46,ST,Right,Lean,2016,5'9,165lbs,45,75,78,71,73,59,66,62,64,64,63
Carlos Isaac,20,Spain,Atletico Madrid,62500,1,38,RB,Right,Lean,2015,6'0,163lbs,57,64,69,46,64,26,49,69,65,34,63
F. Evina,17,Germany,FC Bayern Munchen,72400,1,43,LM,Right,Stocky,2018,5'10,161lbs,59,79,77,69,78,68,61,65,71,59,63
Toni Moya,20,Spain,Atletico Madrid,80000,1,43,CM,Right,Normal,2017,5'11,165lbs,44,66,65,64,66,52,65,51,53,51,63
Robert Costa,24,Spain,RC Celta,50000,1,28,CB,Right,Normal,2016,6'0,176lbs,33,44,50,30,56,49,62,43,69,43,63
